Date,Close
2021-09-08,10232.5166015625
2021-09-09,10493.2353515625
2021-09-10,10407.224609375
2021-09-13,10278.208984375
2021-09-14,10458.2939453125
2021-09-15,10705.572265625
2021-09-16,10667.9443359375
2021-09-17,10530.8642578125
2021-09-20,10022.8671875
2021-09-21,10208.326171875
2021-09-22,10377.658203125
2021-09-23,10616.875
2021-09-24,10401.849609375
2021-09-27,10108.876953125
2021-09-28,9931.4814453125
2021-09-29,9926.1064453125
2021-09-30,9345.537109375
2021-10-01,9286.4052734375
2021-10-04,8799.91015625
2021-10-05,9192.3310546875
2021-10-06,9152.0146484375
2021-10-07,9391.23046875
2021-10-08,9369.7265625
2021-10-11,9211.1474609375
2021-10-12,9356.2890625
2021-10-13,9356.2890625
2021-10-14,8904.7353515625
2021-10-15,8869.7939453125
2021-10-18,9014.9365234375
2021-10-19,9393.91796875
2021-10-20,9396.60546875
2021-10-21,9506.8056640625
2021-10-22,9692.2646484375
2021-10-25,9942.2333984375
2021-10-26,10060.4970703125
2021-10-27,10009.427734375
2021-10-28,9893.8525390625
2021-10-29,9995.9892578125
2021-11-01,10350.7802734375
2021-11-02,10713.6357421875
2021-11-03,11138.310546875
2021-11-04,10767.392578125
2021-11-05,10431.4150390625
2021-11-08,10555.0556640625
2021-11-09,10821.1484375
2021-11-10,10485.171875
2021-11-11,10721.6982421875
2021-11-12,10794.26953125
2021-11-15,10638.376953125
2021-11-16,10495.923828125
2021-11-17,10600.7470703125
2021-11-18,10420.6630859375
2021-11-19,10659.8798828125
2021-11-22,10525.48828125
2021-11-23,10208.326171875
2021-11-24,10305.0869140625
2021-11-25,10310.4638671875
2021-11-26,10326.58984375
2021-11-29,10568.494140625
2021-11-30,10630.3134765625
2021-12-01,10783.51953125
2021-12-02,10689.4462890625
2021-12-03,10772.767578125
2021-12-06,10708.259765625
2021-12-07,11084.5556640625
2021-12-08,11385.5888671875
2021-12-09,11568.3623046875
2021-12-10,11396.341796875
2021-12-13,11503.8544921875
2021-12-14,11294.2041015625
2021-12-15,11573.7373046875
2021-12-16,11917.779296875
2021-12-17,11767.2587890625
2021-12-20,11993.0380859375
2021-12-21,11993.0380859375
2021-12-22,12095.173828125
2021-12-23,12245.69140625
2021-12-27,12546.7265625
2021-12-28,12584.3564453125
2021-12-29,12713.3720703125
2021-12-30,12605.857421875
2022-01-03,12955.2744140625
2022-01-04,13052.037109375
2022-01-05,13164.9228515625
2022-01-06,12751.0
2022-01-07,12912.26953125
2022-01-10,12525.224609375
2022-01-11,12568.2294921875
2022-01-12,13068.1630859375
2022-01-13,13331.5693359375
2022-01-14,12740.248046875
2022-01-17,12213.4384765625
2022-01-18,12331.7021484375
2022-01-19,11998.4130859375
2022-01-20,12385.45703125
2022-01-21,12181.1826171875
2022-01-24,11826.3916015625
2022-01-25,11923.154296875
2022-01-26,12337.078125
2022-01-27,12578.9814453125
2022-01-28,12385.45703125
2022-01-31,12724.1220703125
2022-02-01,12568.2294921875
2022-02-02,12756.376953125
2022-02-03,12595.107421875
2022-02-04,11788.7626953125
2022-02-07,11917.779296875
2022-02-08,11659.7470703125
2022-02-09,12503.7216796875
2022-02-10,12509.09765625
2022-02-11,12595.107421875
2022-02-14,12175.8076171875
2022-02-15,12428.462890625
2022-02-16,12460.7158203125
2022-02-17,12562.853515625
2022-02-18,12331.7021484375
2022-02-21,11998.4130859375
2022-02-22,12132.802734375
2022-02-23,11767.2587890625
2022-02-24,11235.0732421875
2022-02-25,11552.234375
2022-02-28,11299.5810546875
2022-03-01,11089.9296875
2022-03-02,11503.8544921875
2022-03-03,11729.630859375
2022-03-04,11369.462890625
2022-03-07,10799.6474609375
2022-03-08,10450.23046875
2022-03-09,11014.671875
2022-03-10,11020.0478515625
2022-03-11,11600.615234375
2022-03-14,12320.94921875
2022-03-15,12471.466796875
2022-03-16,13399.296875
2022-03-17,13646.31640625
2022-03-18,13784.888671875
2022-03-21,13953.5849609375
2022-03-22,13724.640625
2022-03-23,13567.9931640625
2022-03-24,12857.05859375
2022-03-25,12308.796875
2022-03-28,12832.9609375
2022-03-29,12308.796875
2022-03-30,12338.9208984375
2022-03-31,12272.6484375
2022-04-01,12350.970703125
2022-04-04,11733.423828125
2022-04-05,11221.30859375
2022-04-06,10841.744140625
2022-04-07,10736.3076171875
2022-04-08,10877.8916015625
2022-04-11,10621.8349609375
2022-04-12,10630.873046875
2022-04-13,11001.4013671875
2022-04-19,11564.7255859375
2022-04-20,11899.10546875
2022-04-21,11832.8330078125
2022-04-22,11432.1787109375
2022-04-25,10938.1396484375
2022-04-26,11284.5703125
2022-04-27,11829.8212890625
2022-04-28,12043.7041015625
2022-04-29,12459.41796875
2022-05-02,12164.2001953125
2022-05-03,12212.3994140625
2022-05-04,12652.21484375
2022-05-05,12917.30859375
2022-05-06,12658.2392578125
2022-05-09,11814.7587890625
2022-05-10,12073.8271484375
2022-05-11,11658.1123046875
2022-05-12,11853.919921875
2022-05-16,11947.3056640625
2022-05-17,12453.3935546875
2022-05-18,12332.8974609375
2022-05-19,11751.4970703125
2022-05-20,12471.4677734375
2022-05-23,12332.8974609375
2022-05-24,11989.4794921875
2022-05-25,12230.47265625
2022-05-30,12387.12109375
2022-05-31,12182.2744140625
2022-06-01,12519.6669921875
2022-06-02,12796.810546875
2022-06-03,12845.0107421875
2022-06-07,12652.21484375
2022-06-08,11640.037109375
2022-06-09,11537.6142578125
2022-06-10,11127.9228515625
2022-06-13,11046.587890625
2022-06-14,11179.1357421875
2022-06-15,11037.55078125
2022-06-16,10290.4677734375
2022-06-17,9947.05078125
2022-06-20,10221.181640625
2022-06-21,10480.2509765625
2022-06-22,10179.0078125
2022-06-23,9962.11328125
