Date,Close
2021-09-08,1594.5579833984375
2021-09-09,1594.5579833984375
2021-09-10,1590.656982421875
2021-09-13,1585.7806396484375
2021-09-14,1599.9219970703125
2021-09-15,1600.897216796875
2021-09-16,1636.98193359375
2021-09-17,1626.7418212890625
2021-09-20,1576.515625
2021-09-21,1625.27880859375
2021-09-22,1615.0384521484375
2021-09-23,1637.4697265625
2021-09-24,1591.14453125
2021-09-27,1532.628662109375
2021-09-28,1474.11279296875
2021-09-29,1490.6922607421875
2021-09-30,1502.3955078125
2021-10-01,1479.4766845703125
2021-10-04,1432.1763916015625
2021-10-05,1473.625244140625
2021-10-06,1469.72412109375
2021-10-07,1486.303466796875
2021-10-08,1457.045654296875
2021-10-11,1424.8619384765625
2021-10-12,1447.29296875
2021-10-13,1473.137451171875
2021-10-14,1478.013916015625
2021-10-15,1468.748779296875
2021-10-18,1463.8724365234375
2021-10-19,1486.7913818359375
2021-10-20,1475.57568359375
2021-10-21,1478.50146484375
2021-10-22,1511.6605224609375
2021-10-25,1485.328369140625
2021-10-26,1478.013916015625
2021-10-27,1460.9466552734375
2021-10-28,1456.557861328125
2021-10-29,1458.5086669921875
2021-11-01,1471.18701171875
2021-11-02,1467.285888671875
2021-11-03,1510.1976318359375
2021-11-04,1525.8017578125
2021-11-05,1499.9573974609375
2021-11-08,1508.2470703125
2021-11-09,1535.554443359375
2021-11-10,1486.303466796875
2021-11-11,1506.2965087890625
2021-11-12,1529.21533203125
2021-11-15,1530.190673828125
2021-11-16,1505.3212890625
2021-11-17,1498.0068359375
2021-11-18,1503.8583984375
2021-11-19,1521.4132080078125
2021-11-22,1522.3883056640625
2021-11-23,1435.1021728515625
2021-11-24,1415.5968017578125
2021-11-25,1399.505126953125
2021-11-26,1401.4556884765625
2021-11-29,1392.1904296875
2021-11-30,1392.67822265625
2021-12-01,1414.134033203125
2021-12-02,1338.551025390625
2021-12-03,1327.8231201171875
2021-12-06,1315.63232421875
2021-12-07,1381.9501953125
2021-12-08,1409.745361328125
2021-12-09,1408.77001953125
2021-12-10,1404.38134765625
2021-12-13,1410.7205810546875
2021-12-14,1369.27197265625
2021-12-15,1400.968017578125
2021-12-16,1415.109130859375
2021-12-17,1393.6534423828125
2021-12-20,1406.8194580078125
2021-12-21,1423.39892578125
2021-12-22,1450.7064208984375
2021-12-23,1452.1693115234375
2021-12-27,1474.600341796875
2021-12-28,1479.4766845703125
2021-12-29,1490.6922607421875
2021-12-30,1489.7169189453125
2022-01-03,1496.5439453125
2022-01-04,1492.1551513671875
2022-01-05,1494.5933837890625
2022-01-06,1434.6146240234375
2022-01-07,1432.1763916015625
2022-01-10,1345.865478515625
2022-01-11,1373.660400390625
2022-01-12,1394.6287841796875
2022-01-13,1387.3143310546875
2022-01-14,1331.72412109375
2022-01-17,1340.9891357421875
2022-01-18,1321.483642578125
2022-01-19,1335.625244140625
2022-01-20,1339.03857421875
2022-01-21,1296.1268310546875
2022-01-24,1236.635986328125
2022-01-25,1251.75244140625
2022-01-26,1292.225830078125
2022-01-27,1308.3177490234375
2022-01-28,1270.77001953125
2022-01-31,1304.416748046875
2022-02-01,1340.9891357421875
2022-02-02,1362.9326171875
2022-02-03,1317.09521484375
2022-02-04,1291.2506103515625
2022-02-07,1281.4979248046875
2022-02-08,1260.52978515625
2022-02-09,1304.416748046875
2022-02-10,1293.201171875
2022-02-11,1263.943115234375
2022-02-14,1229.80908203125
2022-02-15,1249.8018798828125
2022-02-16,1238.5863037109375
2022-02-17,1205.9149169921875
2022-02-18,1182.508544921875
2022-02-21,1177.144775390625
2022-02-22,1158.6146240234375
2022-02-23,1139.1092529296875
2022-02-24,1120.5792236328125
2022-02-25,1177.63232421875
2022-02-28,1196.64990234375
2022-03-01,1180.0704345703125
2022-03-02,1173.731201171875
2022-03-03,1195.18701171875
2022-03-04,1165.44140625
2022-03-07,1170.805419921875
2022-03-08,1154.2259521484375
2022-03-09,1168.3673095703125
2022-03-10,1163.490966796875
2022-03-11,1165.92919921875
2022-03-14,1181.5333251953125
2022-03-15,1242.4873046875
2022-03-16,1265.4061279296875
2022-03-17,1296.1268310546875
2022-03-18,1325.016845703125
2022-03-21,1325.016845703125
2022-03-22,1300.0443115234375
2022-03-23,1293.6787109375
2022-03-24,1278.9888916015625
2022-03-25,1273.602783203125
2022-03-28,1307.38916015625
2022-03-29,1301.51318359375
2022-03-30,1297.595947265625
2022-03-31,1273.602783203125
2022-04-01,1278.9888916015625
2022-04-04,1243.243896484375
2022-04-05,1220.7197265625
2022-04-06,1167.3468017578125
2022-04-07,1160.001953125
2022-04-08,1145.8017578125
2022-04-11,1082.6357421875
2022-04-12,1104.6702880859375
2022-04-13,1082.6357421875
2022-04-19,1121.31884765625
2022-04-20,1135.029296875
2022-04-21,1133.0706787109375
2022-04-22,1115.9324951171875
2022-04-25,1106.1392822265625
2022-04-26,1107.6082763671875
2022-04-27,1102.22216796875
2022-04-28,1103.6910400390625
2022-04-29,1145.8017578125
2022-05-02,1128.1739501953125
2022-05-03,1097.815185546875
2022-05-04,1127.684326171875
2022-05-05,1133.560302734375
2022-05-06,1087.042724609375
2022-05-09,1017.5111694335938
2022-05-10,1020.4491577148438
2022-05-11,1020.9387817382812
2022-05-12,1034.649169921875
2022-05-16,1057.17333984375
2022-05-17,1086.5528564453125
2022-05-18,1075.780517578125
2022-05-19,1077.24951171875
2022-05-20,1104.1806640625
2022-05-23,1094.3875732421875
2022-05-24,1079.2080078125
2022-05-25,1070.394287109375
2022-05-30,1120.8291015625
2022-05-31,1113.9739990234375
2022-06-01,1079.69775390625
2022-06-02,1099.2841796875
2022-06-03,1092.428955078125
2022-06-07,1100.7530517578125
2022-06-08,1051.2974853515625
2022-06-09,1016.5317993164062
2022-06-10,1023.3870239257812
2022-06-13,988.6212158203125
2022-06-14,974.0293579101562
2022-06-15,1004.2903442382812
2022-06-16,950.134033203125
2022-06-17,952.8760986328125
2022-06-20,979.3176879882812
2022-06-21,994.0075073242188
2022-06-22,972.854248046875
2022-06-23,960.3189697265625
2022-06-24,1005.75927734375
2022-06-27,1030.2421875
2022-06-28,1005.75927734375
2022-06-29,986.6626586914062
2022-06-30,970.69970703125
2022-07-01,977.554931640625
2022-07-04,965.6072387695312
2022-07-05,961.8858642578125
2022-07-06,954.4429931640625
2022-07-07,998.904052734375
2022-07-08,1025.835205078125
2022-07-11,1018.4903564453125
2022-07-12,1022.4076538085938
2022-07-13,1024.8560791015625
2022-07-14,1005.75927734375
